Provider,Homepage,Region,Country,City/Data Center,S3 Compatible,Object Lock,Versioning,ISO 27001/GDPR,Veeam Ready,Notes
Exoscale,https://www.exoscale.com/,Europe,Austria,"Vienna, Graz",Yes,Unknown,Yes,Yes,Unknown,"Data centers in Austria, Germany, Switzerland, and Bulgaria"
STACKIT,https://www.stackit.de/en/product/object-storage/,Europe,Germany,"Frankfurt, Nuremberg",Yes,Yes,Yes,Yes,Unknown,"Operated by Schwarz Group; also available in Austria"
Arsys,https://www.arsys.net/cloud/object-storage,Europe,Spain,"Madrid, Logroño",Yes,Unknown,Unknown,Yes,Unknown,"Part of United Internet; services in Spain"
Bhosted,https://www.bhosted.nl/,Europe,Netherlands,"Amsterdam",Yes,Unknown,Unknown,Unknown,Unknown,"Dutch provider; confirm S3 compatibility"
Cloudalize,https://www.cloudalize.com/,Europe,Belgium,"Ghent",Yes,Unknown,Unknown,Unknown,Unknown,"Offers GPU-powered cloud desktops; S3 compatibility to be confirmed"
Delta.bg,https://delta.bg/en/object-storage,Europe,Bulgaria,"Sofia",Yes,Unknown,Unknown,Unknown,Unknown,"Provides S3-compatible object storage with web-based client"
Avalon.hr,https://www.avalon.hr/,Europe,Croatia,"Zagreb",Yes,Unknown,Unknown,Unknown,Unknown,"Croatian hosting provider; S3 compatibility to be confirmed"
Tebi,https://tebi.io/,Europe,Cyprus,"Nicosia",Yes,Yes,Yes,Yes,Unknown,"Geo-distributed storage with global endpoint; select target regions"
nethost.eu,https://www.nethost.eu/,Europe,Czech Republic,"Brno",Yes,Unknown,Unknown,Unknown,Unknown,"Czech hosting provider; S3 compatibility to be confirmed"
ServingA,https://www.servinga.com/,Europe,Germany,"Frankfurt",Yes,Unknown,Unknown,Unknown,Unknown,"German cloud provider; S3 compatibility to be confirmed"
B4Restore,https://www.b4restore.com/,Europe,Denmark,"Copenhagen",Yes,Unknown,Unknown,Yes,Unknown,"Offers backup and recovery solutions; S3 compatibility to be confirmed"
CloudNordic,https://www.cloudnordic.com/,Europe,Denmark,"Copenhagen",Yes,Unknown,Unknown,Unknown,Unknown,"Danish cloud provider; S3 compatibility to be confirmed"
Rackhosting,https://www.rackhosting.com/,Europe,Denmark,"Copenhagen",Yes,Unknown,Unknown,Unknown,Unknown,"Provides cloud services; S3 compatibility to be confirmed"
Storadera,https://storadera.com/,Europe,Estonia,"Tallinn, Helsinki, Amsterdam",Yes,Unknown,Yes,Yes,Unknown,"Estonian provider offering S3-compatible storage with locations in Estonia, Finland, and Netherlands"
UpCloud,https://upcloud.com/,Europe,Finland,"Helsinki",Yes,Unknown,Yes,Yes,Unknown,"Finnish cloud provider with S3-compatible storage"
Hetzner,https://www.hetzner.com/,Europe,Germany,"Nuremberg, Falkenstein, Helsinki",Yes,Unknown,Unknown,Unknown,Unknown,"German provider with data centers in Germany and Finland"
Zoner,https://www.zoner.com/,Europe,Finland,"Helsinki",Yes,Unknown,Unknown,Unknown,Unknown,"Finnish hosting provider; S3 compatibility to be confirmed"
Wasabi,https://wasabi.com/,Europe,Multiple,"Amsterdam, Frankfurt, London, Paris, Milan",Yes,Yes,Yes,Yes,Yes,"S3-compatible storage with multiple European data centers"
Scaleway,https://www.scaleway.com/,Europe,France,"Paris, Amsterdam, Warsaw, Brussels, Copenhagen, Helsinki, Oslo, Vienna, Madrid",Yes,Yes,Yes,Yes,Unknown,"French cloud provider offering S3-compatible storage"
OVHcloud,https://www.ovhcloud.com/,Europe,France,"Gravelines, Roubaix, Strasbourg, Paris, Frankfurt, London, Warsaw",Yes,Yes,Yes,Yes,Yes,"French provider with multiple European data centers; Paris is 3-AZ region, others are 1-AZ regions"
Clever Cloud,https://www.clever-cloud.com/,Europe,France,"Paris",Yes,Unknown,Unknown,Unknown,Unknown,"Offers 'Cellar' S3-compatible storage"
Online.net,https://www.online.net/,Europe,France,"Paris",Yes,Unknown,Unknown,Unknown,Unknown,"French hosting provider; S3 compatibility to be confirmed"
Ikoula,https://www.ikoula.com/,Europe,France,"Reims",Yes,Unknown,Unknown,Yes,Unknown,"French provider offering S3-compatible storage"
IONOS,https://www.ionos.com/,Europe,Germany,"Karlsruhe, Madrid, London",Yes,Yes,Yes,Yes,Yes,"German provider with data centers in Germany, Spain, and UK"
Contabo,https://contabo.com/,Europe,Germany,"Munich, Nuremberg",Yes,Unknown,Unknown,Unknown,Unknown,"German provider offering S3-compatible object storage"
Intercolo,https://www.intercolo.net/,Europe,Germany,"Frankfurt",Yes,Unknown,Unknown,Unknown,Unknown,"German hosting provider; S3 compatibility to be confirmed"
Impossible Cloud,https://impossiblecloud.com/,Europe,Germany,"Hamburg",Yes,Unknown,Unknown,Unknown,Unknown,"German provider offering decentralized cloud storage"
PlusServer,https://www.plusserver.com/,Europe,Germany,"Cologne",Yes,Unknown,Unknown,Unknown,Unknown,"German cloud provider; S3 compatibility to be confirmed"
myLoc,https://www.myloc.de/,Europe,Germany,"Düsseldorf",Yes,Unknown,Unknown,Unknown,Unknown,"German provider offering S3-compatible storage"
Gridscale,https://gridscale.io/,Europe,Germany,"Cologne",Yes,Unknown,Unknown,Unknown,Unknown,"German cloud provider; S3 compatibility to be confirmed"
Gloman,https://www.gloman.gr/,Europe,Greece,"Athens",Yes,Unknown,Unknown,Unknown,Unknown,"Greek provider offering S3-compatible object storage"
